Date and time of Verification,Supply,State,District/City,Name of vendor,Contact details,"Preferred mode of contact (voice call, whatsapp, etc)",Links,Misc Data ,"Status (out of stock, working number)"
Na,Oxygen Concentrator,Jammu and Kashmir,Kashmir ,Na,9622578406,Na,Na,Oxy Cylinder And Concentrators Available ,Na
Na,Oxygen Concentrator,Jammu and Kashmir,Kashmir ,Na,9419693451,Na,Na,Oxy Cylinder And Concentrators Available ,Na
Na,Oxygen Concentrator,Jammu and Kashmir,Kashmir ,Na,8494000900,Na,Na,Oxy Cylinder And Concentrators Available ,Na
Na,Oxygen Concentrator,Jammu and Kashmir,Jammu,Advisory On Oxy Concentrators,9111-23978043 / 0191-2520982 / 0194-2440283,Na,Na,Na,Na
Na,Oxygen Concentrator,Jammu and Kashmir,"Srinagar, Chattabal",Bagi Sunder Payeen,9596186578 / 9797776098,Na,Na,Na,Na
Na,Oxygen Concentrator,Jammu and Kashmir,Kashmir ,Sahuliyat Kashmir Voluntary Trust,7006975843,Na,Na,Ration And Oxy Concetrator,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Srinagar,Stealth Oxygen ,7006553361 / 8825060598 / 9419096224,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Srinagar,Paramount Oxy,7051030308,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Anantnag,Wani Gases,8899989452,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Pampore,Shakeel Sahab,9596599308,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Anantnag,Valley Gases,9906888655,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Jammu,Dashmesh Gas,8492883163,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Nowgam,Right Valley Gases,9797122432,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Sopore,Sopore Oxy,9797909082,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Kargil,Iqbal Sahab,9906991393,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Srinagar,Covid Care Center,1800-889-2729,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,"Srinagar, Kashmir ",Oxy Cylinder,7889849186,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Kashmir ,Oxy Kashmir ,18001022146,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Jammu,Oxy Cylinder ,1800-2588114,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Jammu,Oxy War Room,9469593931 / 9469593933,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Pulwama,The Sajid Iqbal Foundation ( Dar-mudasir),9419022289 / 9149773323 / 9419018880,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Jammu,Riteshkoul,9086363589,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Jammu And Kashmir ,Azeeta Qureshi,01942483650 / 01942483651,Na,Na,"Oxy, Icu Beds, Medicine, Ambulance, Testing, Teleconsultant, Vaccination.",Na
Na,Oxygen Cylinder,Jammu and Kashmir,Sro Batmaloo,Sro ,18001022146,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Ehsas International ,Ehsas International ,18008892729,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Jammu Kashmir,Oxy Cylinder,7051030308 / 9797122432 / 9596599308,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,"Kishtwar, Doda",Ababeel,9906399064,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Jammu,Dasmesh Gas,8492883163 / 9419236408,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Anantnag,Salfiya,9419040903 / 8825079706,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Anantnag,Wani Gasws,8899989452,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Jammu,Seerat Gupta,9086666647,Na,Na,Na,Na
Na,Oxygen Cylinder,Jammu and Kashmir,Srinagar,Oxy Cylinder,9797122432,Na,Na,Na,Na
,Oxygen Cylinder,Jammu and Kashmir,,,,,,,
Na,Oxygen Refill,Jammu and Kashmir,Jammu & Kashmir,Refilling,9797122432 / 7889849186,Na,Na,Only for Urgent basis,Na
Na,Home RTPCR,Jammu and Kashmir,Jammu,Hep line,0194-2420163,Na,www.athrout.org/donate,Na,Na
Na,Home RTPCR,Jammu and Kashmir,Kashmir ,Athrout,9796780420 / 9796946968,Na,https://www.athrout.org/covid-19-aid,Na,Na
Na,Home RTPCR,Jammu and Kashmir,Jammu,Atulya Healthcare,0191-2740100,Na,Na,Na,Na
Na,Home RTPCR,Jammu and Kashmir,Jammu,Dr.Lal pathlabs,0191-2564912,Na,Na,Na,Na
Na,Home RTPCR,Jammu and Kashmir,Jammu,STL Diagnostic ,9449191754,Na,Na,Na,Na
Na,Home RTPCR,Jammu and Kashmir,Jammu and Kashmir ,Central Helpline ,1075 / +91-11-23978043 / 0191-2520982 /  0194-2440283,Na,Na,Na,Na
Na,Home RTPCR,Jammu and Kashmir,Jammu and Kashmir ,Azeeta Qureshi ,01942483650 / 01942483651,Na,Na,"Oxy, ICU Beds, Medicine, Ambulance, Testing, Teleconsultant, Vaccination.",Na
Na,Home RTPCR,Jammu and Kashmir,SRO Kashmir ,Helpline ,18001022146,Na,Na,Na,Na
,Home RTPCR,Jammu and Kashmir,,,,,,,
Na,Ambulance,Jammu and Kashmir,Sahuliyat Kashmir,Specially Abled Helpline ,7006975843,Na,Na,Na,Na
Na,Ambulance,Jammu and Kashmir,Jammu and Kashmir ,"SOS Amb, Dr. Amit Wanchoo",9596008290 / 9622869295 / 9797666080,Na,Na,Na,Na
Na,Ambulance,Jammu and Kashmir,Jammu and Kashmir ,Azeeta Qureshi,01942483650 / 01942483651,Na,Na,"Oxy, ICU Beds, Medicine, Ambulance, Testing, Teleconsultant, Vaccination.",Na
Na,Ambulance,Jammu and Kashmir,Baramulla,Helpline ,7889534245,Na,Na,Na,Na
,Ambulance,Jammu and Kashmir,,,,,,,
